순번,위도,경도,,
1,35.16232073,129.1653682,"[35.16232073, 129.1653682]","[35.16232073, 129.1653682]"
2,35.16213038,129.1650651,"[35.16213038, 129.1650651]","[35.16213038, 129.1650651]"
3,35.09467774,128.9623057,"[35.09467774, 128.9623057]","[35.09467774, 128.9623057]"
4,35.16213966,129.1653443,"[35.16213966, 129.1653443]","[35.16213966, 129.1653443]"
5,35.34049369,129.3028907,"[35.34049369, 129.3028907]","[35.34049369, 129.3028907]"
6,35.34064472,129.3029174,"[35.34064472, 129.3029174]","[35.34064472, 129.3029174]"
7,35.34065386,129.3027384,"[35.34065386, 129.3027384]","[35.34065386, 129.3027384]"
8,35.33577368,129.1232316,"[35.33577368, 129.1232316]","[35.33577368, 129.1232316]"
9,35.22107583,128.9285118,"[35.22107583, 128.9285118]","[35.22107583, 128.9285118]"
10,35.30963574,129.1096704,"[35.30963574, 129.1096704]","[35.30963574, 129.1096704]"
11,35.3077108,129.1080623,"[35.3077108, 129.1080623]","[35.3077108, 129.1080623]"
12,35.32264558,129.115651,"[35.32264558, 129.115651]","[35.32264558, 129.115651]"
13,35.30759888,129.107852,"[35.30759888, 129.107852]","[35.30759888, 129.107852]"
14,35.30740008,129.1079176,"[35.30740008, 129.1079176]","[35.30740008, 129.1079176]"
15,35.30667556,129.1074827,"[35.30667556, 129.1074827]","[35.30667556, 129.1074827]"
16,35.30405423,129.080752,"[35.30405423, 129.080752]","[35.30405423, 129.080752]"
17,35.1617913,129.1691892,"[35.1617913, 129.1691892]","[35.1617913, 129.1691892]"
18,35.16189573,129.1692737,"[35.16189573, 129.1692737]","[35.16189573, 129.1692737]"
19,35.16197434,129.168954,"[35.16197434, 129.168954]","[35.16197434, 129.168954]"
20,35.16205089,129.1676905,"[35.16205089, 129.1676905]","[35.16205089, 129.1676905]"
21,35.34049989,129.3027295,"[35.34049989, 129.3027295]","[35.34049989, 129.3027295]"
22,35.22157219,128.9293086,"[35.22157219, 128.9293086]","[35.22157219, 128.9293086]"
23,35.21807008,129.1403223,"[35.21807008, 129.1403223]","[35.21807008, 129.1403223]"
24,35.21819359,129.1207318,"[35.21819359, 129.1207318]","[35.21819359, 129.1207318]"
25,35.15982234,129.1602898,"[35.15982234, 129.1602898]","[35.15982234, 129.1602898]"
26,35.15707349,129.1467033,"[35.15707349, 129.1467033]","[35.15707349, 129.1467033]"
27,35.17615191,129.1759312,"[35.17615191, 129.1759312]","[35.17615191, 129.1759312]"
28,35.15724801,129.1466358,"[35.15724801, 129.1466358]","[35.15724801, 129.1466358]"
29,35.15789465,129.1443057,"[35.15789465, 129.1443057]","[35.15789465, 129.1443057]"
30,35.15801053,129.1439777,"[35.15801053, 129.1439777]","[35.15801053, 129.1439777]"
31,35.15529589,129.1460919,"[35.15529589, 129.1460919]","[35.15529589, 129.1460919]"
32,35.15543249,129.1459926,"[35.15543249, 129.1459926]","[35.15543249, 129.1459926]"
33,35.15537263,129.1458467,"[35.15537263, 129.1458467]","[35.15537263, 129.1458467]"
34,35.15523738,129.145912,"[35.15523738, 129.145912]","[35.15523738, 129.145912]"
35,35.17373794,129.1783778,"[35.17373794, 129.1783778]","[35.17373794, 129.1783778]"
36,35.15756612,129.1455055,"[35.15756612, 129.1455055]","[35.15756612, 129.1455055]"
37,35.15978252,129.1428101,"[35.15978252, 129.1428101]","[35.15978252, 129.1428101]"
38,35.15813567,129.149212,"[35.15813567, 129.149212]","[35.15813567, 129.149212]"
39,35.15758578,129.151061,"[35.15758578, 129.151061]","[35.15758578, 129.151061]"
40,35.1907793,129.2045492,"[35.1907793, 129.2045492]","[35.1907793, 129.2045492]"
41,35.16024291,129.1579509,"[35.16024291, 129.1579509]","[35.16024291, 129.1579509]"
42,35.17391001,129.177984,"[35.17391001, 129.177984]","[35.17391001, 129.177984]"
43,35.15714712,129.1469244,"[35.15714712, 129.1469244]","[35.15714712, 129.1469244]"
44,35.15735537,129.1468116,"[35.15735537, 129.1468116]","[35.15735537, 129.1468116]"
45,35.16462595,129.1821306,"[35.16462595, 129.1821306]","[35.16462595, 129.1821306]"
46,35.15657037,129.1482457,"[35.15657037, 129.1482457]","[35.15657037, 129.1482457]"
47,35.15682144,129.1487749,"[35.15682144, 129.1487749]","[35.15682144, 129.1487749]"
48,35.15593705,129.1432808,"[35.15593705, 129.1432808]","[35.15593705, 129.1432808]"
49,35.15603577,129.1435294,"[35.15603577, 129.1435294]","[35.15603577, 129.1435294]"
50,35.15623757,129.1434052,"[35.15623757, 129.1434052]","[35.15623757, 129.1434052]"
51,35.15484109,129.1428334,"[35.15484109, 129.1428334]","[35.15484109, 129.1428334]"
52,35.15470716,129.1425816,"[35.15470716, 129.1425816]","[35.15470716, 129.1425816]"
53,35.20451475,129.120364,"[35.20451475, 129.120364]","[35.20451475, 129.120364]"
54,35.15811872,129.1431744,"[35.15811872, 129.1431744]","[35.15811872, 129.1431744]"
55,35.15818272,129.1433679,"[35.15818272, 129.1433679]","[35.15818272, 129.1433679]"
56,35.15829793,129.1432282,"[35.15829793, 129.1432282]","[35.15829793, 129.1432282]"
57,35.15693595,129.141645,"[35.15693595, 129.141645]","[35.15693595, 129.141645]"
58,35.15781713,129.1440926,"[35.15781713, 129.1440926]","[35.15781713, 129.1440926]"
59,35.15809411,129.1441947,"[35.15809411, 129.1441947]","[35.15809411, 129.1441947]"
