순번,행정구역(구),행정구역(동),행정구역(리),지번,교차로,신호등존재유무,가로길이,세로길이,면적,경도,위도,
2403,수영구,남천동,,0,,유,0,0,0,129.1124904,35.13715062,0
3474,사하구,신평동,,106,,유,7,26,176,128.9797657,35.08501455,106
2224,사상구,감전동,,174,,유,8,17,142,128.9903449,35.1533335,174
1860,기장군,기장읍,교리,365,,유,8,14,118,129.2169667,35.25436017,365
2193,사상구,엄궁동,,690,,유,6,22,141,128.9695562,35.12793188,690
522,북구,화명동,,754,,유,0,0,0,129.017736,35.23295992,754
523,북구,화명동,,754,,유,0,0,0,129.0178246,35.23312523,754
524,북구,화명동,,754,,유,0,0,0,129.0177004,35.23306056,754
1072,동래구,낙민동,,766,,유,4,15,62,129.0954186,35.19732274,766
3549,사하구,감천동,,789,,유,7,18,129,128.9941677,35.08819054,789
1334,부산진구,전포동,,868,,유,5,19,101,129.0637683,35.15774959,868
1674,동구,범일동,,949,,유,11,23,244,129.0593709,35.13891378,949
700,북구,만덕동,,960,,유,,,,,,960
2775,강서구,죽림동,,962,,유,6,7,42,128.9034058,35.19333303,962
3483,사하구,하단동,,1174,,유,8,30,247,128.9563143,35.10225078,1174
197,해운대구,재송동,,1192,,유,8,24,196,129.1211769,35.18104515,1192
198,해운대구,재송동,,1192,,유,8,17,136,129.1212653,35.18130478,1192
109,해운대구,우동,,1228,,유,8,10,84,129.1301021,35.17376728,1228
204,해운대구,우동,,1228,,유,9,13,77,129.1301246,35.17394209,1228
205,해운대구,우동,,1228,,유,8,13,105,129.1303571,35.17373855,1228
97,해운대구,좌동,,1271,,유,8,13,100,129.169098,35.17335553,1271
151,해운대구,좌동,,1303,,유,4,15,60,129.1793407,35.17583025,1303
154,해운대구,좌동,,1303,,유,5,16,63,129.179171,35.17607659,1303
75,해운대구,좌동,,1318,,유,5,17,39,129.180189,35.16768935,1318
161,해운대구,좌동,,1318,,유,6,12,74,129.1800467,35.16763973,1318
162,해운대구,좌동,,1318,,유,8,12,81,129.180919,35.16741654,1318
1871,기장군,정관읍,용수리,1360,,유,6,17,99,129.1681231,35.32507119,1360
1829,기장군,정관읍,용수리,1363,,유,6,17,103,129.1687243,35.32829802,1363
1873,기장군,정관읍,용수리,1384,,유,7,22,154,129.1693466,35.32738723,1384
193,해운대구,좌동,,1402,,유,8,13,105,129.177308,35.17978698,1402
1872,기장군,정관읍,용수리,1406,,유,6,18,106,129.1694425,35.32566622,1406
142,해운대구,좌동,,1435,,유,9,14,85,129.1809726,35.1734543,1435
207,해운대구,우동,,1510,,유,12,24,154,129.1335412,35.16778689,1510
208,해운대구,우동,,1510,,유,17,12,147,129.1337188,35.16755678,1510
3450,사하구,다대동,,1552,,유,6,24,148,128.9668349,35.0479076,1552
20,해운대구,중동,,1829,,유,,,,129.1676905,35.16205089,1829
641,북구,화명동,,2256,,유,8,13,103,129.01159,35.23958136,2256
535,북구,화명동,,2273,,유,3,14,42,129.0123658,35.23531845,2273
2766,강서구,명지동,,3275,,유,2,5,10,128.8997906,35.08439941,3275
2773,강서구,명지동,,3280,,유,9,16,140,128.9017452,35.07961583,3280
2782,강서구,명지동,,3438,,유,,,,128.9195124,35.09450543,3438
2783,강서구,명지동,,3438,,유,,,,128.9196278,35.09398859,3438
2784,강서구,명지동,,3438,,유,,,,128.9194586,35.09411644,3438
2785,강서구,명지동,,3438,,유,,,,128.916927,35.09323073,3438
2786,강서구,명지동,,3438,,유,,,,128.9168851,35.09339231,3438
2787,강서구,명지동,,3438,,유,,,,128.9171324,35.09345401,3438
2788,강서구,명지동,,3438,,유,,,,128.9168787,35.09359139,3438
2789,강서구,명지동,,3438,,유,,,,,,3438
2790,강서구,명지동,,3438,,유,,,,128.9166608,35.09336508,3438
3762,중구,보수동3가,,14246,,유,6,15,95,129.0226457,35.10324168,14246
1717,중구,부평동4가,,14397,,유,7,19,127,129.021436,35.10207587,14397
2781,강서구,명지동,,16954,,유,8,28,232,128.922862,35.09199359,16954
2231,사상구,삼락동,,25628,,유,9,25,222,128.9842877,35.1940742,25628
129,해운대구,반송동,,25873,,유,6,12,74,129.1567525,35.23011708,25873
3548,사하구,감천동,,28185,,유,8,24,189,129.0065369,35.08638564,28185
3754,중구,보수동2가,,35551,,유,6,17,108,129.0249006,35.10411088,35551
1551,영도구,남항동2가,,45684,,유,6,15,92,129.0360248,35.08867785,45684
1865,기장군,일광면,삼성리,45849,,유,7,17,109,129.2196124,35.25623282,45849
2206,사상구,감전동,,174,"""구"" 사상구청앞",유,6,11,63,128.9865934,35.1541074,"""구"" 사상구청앞"
2208,사상구,감전동,,140-4,"""구"" 사상구청앞",유,6,12,74,128.9868339,35.15406603,"""구"" 사상구청앞"
2209,사상구,감전동,,174,"""구"" 사상구청앞",유,6,13,75,128.9867397,35.15418973,"""구"" 사상구청앞"
3426,금정구,부곡동,,223-1,(LG마트)롯데마트 금정점,유,6,25,156,129.0923211,35.23805844,(LG마트)롯데마트 금정점
3427,금정구,부곡동,,21582,(LG마트)롯데마트 금정점,유,9,28,234,129.092563,35.23958217,(LG마트)롯데마트 금정점
3428,금정구,부곡동,,215-7,(LG마트)롯데마트 금정점,유,6,28,160,129.0924917,35.23916092,(LG마트)롯데마트 금정점
1642,동구,수정동,,1144-6,(LG정유 초량충전소) 세일병원,유,4,16,58,129.0446386,35.12387009,(LG정유 초량충전소) 세일병원
1679,동구,수정동,,1157-2,(LG정유 초량충전소) 세일병원,유,8,26,219,129.0445257,35.12406248,(LG정유 초량충전소) 세일병원
439,해운대구,송정동,,134-1,(구) 송정검문소,유,7,24,139,129.2012047,35.18409312,(구) 송정검문소
440,해운대구,송정동,,496-4,(구) 송정검문소,유,6,18,105,129.2012864,35.18385498,(구) 송정검문소
1025,동래구,온천동,,1249-16,(구)부산백화점(남),유,6,17,105,129.0673544,35.20412728,(구)부산백화점(남)
